frame,objId,left,top,right,bottom,centerX,centerY,width,height,maskArea
0,0,146,52,371,480,258.50,266.00,225,428,58301.0
1,0,145,55,378,480,261.50,267.50,233,425,57588.0
2,0,144,52,390,480,267.00,266.00,246,428,59778.0
3,0,145,51,401,480,273.00,265.50,256,429,59983.0
4,0,147,50,414,480,280.50,265.00,267,430,60319.0
5,0,151,48,426,480,288.50,264.00,275,432,62157.0
6,0,155,57,441,480,298.00,268.50,286,423,59841.0
7,0,160,57,452,480,306.00,268.50,292,423,60088.0
8,0,165,66,460,480,312.50,273.00,295,414,59669.0
9,0,170,46,456,480,313.00,263.00,286,434,62969.0
10,0,175,82,427,480,301.00,281.00,252,398,57220.0
11,0,175,66,431,480,303.00,273.00,256,414,56989.0
12,0,174,82,440,480,307.00,281.00,266,398,58240.0
13,0,173,44,450,480,311.50,262.00,277,436,66110.0
14,0,173,82,460,480,316.50,281.00,287,398,61071.0
15,0,174,110,469,480,321.50,295.00,295,370,61554.0
16,0,177,73,474,480,325.50,276.50,297,407,61218.0
17,0,181,114,477,480,329.00,297.00,296,366,59828.0
18,0,190,115,477,480,333.50,297.50,287,365,59088.0
19,0,201,112,476,480,338.50,296.00,275,368,58637.0
20,0,192,110,479,480,335.50,295.00,287,370,59602.0
21,0,193,101,483,480,338.00,290.50,290,379,60677.0
22,0,209,91,486,480,347.50,285.50,277,389,62290.0
23,0,217,77,500,480,358.50,278.50,283,403,65966.0
24,0,209,71,496,480,352.50,275.50,287,409,69825.0
25,0,196,63,527,480,361.50,271.50,331,417,75489.0
26,0,182,57,561,480,371.50,268.50,379,423,79946.0
27,0,167,56,604,480,385.50,268.00,437,424,83728.0
28,0,153,58,612,480,382.50,269.00,459,422,85160.0
29,0,142,62,617,480,379.50,271.00,475,418,86495.0
30,0,131,66,620,480,375.50,273.00,489,414,87103.0
31,0,125,69,610,480,367.50,274.50,485,411,86488.0
32,0,124,70,582,480,353.00,275.00,458,410,85023.0
33,0,124,71,550,480,337.00,275.50,426,409,82309.0
34,0,125,78,509,480,317.00,279.00,384,402,78321.0
35,0,126,87,465,480,295.50,283.50,339,393,73206.0
36,0,124,94,440,480,282.00,287.00,316,386,69787.0
37,0,124,94,437,480,280.50,287.00,313,386,68508.0
38,0,114,94,436,480,275.00,287.00,322,386,68722.0
39,0,89,46,437,480,263.00,263.00,348,434,71635.0
