frame,x1,y1,x2,y2,area,object_score
0,146,52,371,480,58301.0,23.793977737426758
1,145,55,378,480,57588.0,8.909231185913086
2,144,52,390,480,59778.0,9.232202529907227
3,145,51,401,480,59983.0,9.094256401062012
4,147,50,414,480,60319.0,9.073565483093262
5,151,48,426,480,62157.0,8.988162994384766
6,155,57,441,480,59841.0,9.055931091308594
7,160,57,452,480,60088.0,9.051568031311035
8,165,66,460,480,59669.0,9.000365257263184
9,170,46,456,480,62969.0,8.805472373962402
10,175,82,427,480,57220.0,9.105019569396973
11,175,66,431,480,56989.0,9.05116081237793
12,174,82,440,480,58240.0,8.982316970825195
13,173,44,450,480,66110.0,9.425039291381836
14,173,82,460,480,61071.0,9.618502616882324
15,174,110,469,480,61554.0,9.793091773986816
16,177,73,474,480,61218.0,9.494976043701172
17,181,114,477,480,59828.0,9.54464054107666
18,190,115,477,480,59088.0,10.02478313446045
19,201,112,476,480,58637.0,10.161773681640625
20,192,110,479,480,59602.0,9.930330276489258
21,193,101,483,480,60677.0,10.40140151977539
22,209,91,486,480,62290.0,10.264840126037598
23,217,77,500,480,65968.0,10.378541946411133
24,209,71,496,480,69825.0,10.161067962646484
25,196,63,527,480,75489.0,10.173303604125977
26,182,57,561,480,79946.0,10.316186904907227
27,167,56,604,480,83728.0,10.44459056854248
28,153,58,612,480,85160.0,10.454266548156738
29,142,62,617,480,86495.0,10.646688461303711
30,131,66,620,480,87103.0,10.656360626220703
31,125,69,610,480,86488.0,10.652587890625
32,124,70,582,480,85023.0,10.81590461730957
33,124,71,550,480,82309.0,10.915565490722656
34,125,78,509,480,78321.0,11.036090850830078
35,126,87,465,480,73206.0,10.540102005004883
36,124,94,440,480,69787.0,10.254770278930664
37,124,94,437,480,68508.0,10.225862503051758
38,114,94,436,480,68722.0,9.649410247802734
39,89,46,437,480,71635.0,9.819647789001465
