frame,mask_iou,bbox_center_err,ort_x1,ort_y1,ort_x2,ort_y2,ort_area,gold_x1,gold_y1,gold_x2,gold_y2,gold_area,total_ms
0,0.987736,0.64,144.6,52.8,372.9,480.0,12330.0,145.7,51.6,372.3,480.0,58301.0,3107
1,0.989236,0.50,144.3,54.8,380.8,480.0,12204.0,144.3,54.8,379.7,480.0,57588.0,3280
2,0.981085,2.56,143.8,56.7,391.3,480.0,12354.0,143.8,51.6,391.3,480.0,59778.0,3708
3,0.984898,0.28,145.9,50.8,401.6,480.0,12628.0,144.3,50.5,402.8,480.0,59983.0,4603
4,0.987443,0.41,147.9,48.8,414.6,480.0,12723.0,146.8,49.5,415.2,480.0,60319.0,4970
5,0.982859,0.76,149.9,48.8,427.6,480.0,12823.0,150.4,47.4,427.6,480.0,62157.0,4828
6,0.986832,4.27,157.0,48.8,443.0,480.0,12966.0,154.9,56.8,442.0,480.0,59841.0,5310
7,0.963129,6.96,159.1,42.9,453.4,480.0,13829.0,159.6,56.8,453.4,480.0,60088.0,5592
8,0.963088,11.18,163.9,42.9,463.6,480.0,13924.0,164.5,65.3,461.5,480.0,59669.0,5513
9,0.991610,1.27,169.5,46.9,455.5,480.0,13170.0,169.9,45.3,457.0,480.0,62969.0,5905
10,0.995374,9.52,173.4,100.0,429.1,480.0,12164.0,174.4,81.0,428.5,480.0,57220.0,6677
11,0.933862,9.19,175.9,46.9,431.6,480.0,12984.0,174.3,65.3,432.8,480.0,56989.0,5713
12,0.958320,17.11,175.4,46.9,442.1,480.0,13219.0,173.9,81.0,441.1,480.0,58240.0,5666
13,0.992732,1.95,174.9,44.9,452.6,480.0,13760.0,172.3,43.2,451.7,480.0,66110.0,5816
14,0.924882,19.05,171.9,42.9,460.6,480.0,14001.0,172.9,81.0,461.1,480.0,61071.0,5251
15,0.919203,33.21,174.0,42.9,471.0,480.0,14342.0,173.5,109.3,470.5,480.0,61554.0,5531
16,0.910707,14.83,176.4,42.9,476.1,480.0,14435.0,176.4,72.6,475.6,480.0,61218.0,5132
17,0.994852,0.52,181.5,113.8,478.5,480.0,12718.0,180.4,113.6,478.5,480.0,59828.0,5606
18,0.991885,0.47,189.4,113.8,478.1,480.0,12541.0,189.9,114.6,478.1,480.0,59088.0,5560
19,0.990860,0.32,199.9,111.8,477.6,480.0,12439.0,200.4,111.4,477.6,480.0,58637.0,5499
20,0.992082,1.52,194.5,109.9,480.5,480.0,12640.0,191.9,109.3,480.1,480.0,59602.0,5524
21,0.995440,26.05,194.4,48.8,483.1,480.0,13002.0,192.8,100.9,484.3,480.0,60677.0,5529
22,0.997465,0.76,209.9,90.2,487.6,480.0,13269.0,208.3,90.4,487.7,480.0,62290.0,5386
23,0.992517,2.32,217.3,80.3,497.8,480.0,13862.0,216.0,76.8,502.0,480.0,65968.0,5661
24,0.994372,0.50,209.5,70.5,495.5,480.0,14738.0,208.9,70.5,497.1,480.0,69825.0,5303
25,0.990974,0.56,197.5,62.6,527.5,480.0,15931.0,195.9,62.1,528.1,480.0,75489.0,5312
26,0.991236,1.05,182.8,58.7,562.3,480.0,16817.0,181.7,56.8,562.3,480.0,79946.0,5289
27,0.990993,1.10,167.8,56.7,602.3,480.0,17573.0,166.0,55.8,606.0,480.0,83728.0,5340
28,0.994565,0.64,151.5,58.7,613.5,480.0,18114.0,152.0,57.9,614.0,480.0,85160.0,5360
29,0.993643,0.79,140.8,62.6,619.3,480.0,18398.0,141.3,61.0,618.7,480.0,86495.0,5216
30,0.992340,0.70,132.9,66.6,619.6,480.0,18503.0,130.7,65.3,621.3,480.0,87103.0,5415
31,0.995401,0.75,125.4,68.5,612.1,480.0,18382.0,124.9,68.4,611.1,480.0,86488.0,5360
32,0.994837,0.58,124.1,70.5,583.4,480.0,18028.0,123.1,69.4,584.0,480.0,85023.0,5492
33,0.994414,1.25,125.6,70.5,551.9,480.0,17457.0,123.6,70.5,551.5,480.0,82309.0,5307
34,0.995342,0.26,125.0,78.4,510.0,480.0,16628.0,124.4,77.8,510.5,480.0,78321.0,5446
35,0.992805,1.00,124.5,86.3,465.5,480.0,15518.0,125.5,86.3,466.5,480.0,73206.0,5964
36,0.992088,1.28,125.6,94.1,441.9,480.0,14861.0,123.6,93.6,441.5,480.0,69787.0,5294
37,0.992719,1.03,123.3,94.1,436.8,480.0,14563.0,123.7,93.6,438.3,480.0,68508.0,5407
38,0.995393,0.56,112.8,94.1,437.3,480.0,14597.0,113.3,93.6,437.8,480.0,68722.0,5258
39,0.993721,24.41,89.1,94.1,438.4,480.0,14948.0,88.1,45.3,439.0,480.0,71635.0,5177
