frame,mask_iou,bbox_center_err,ort_x1,ort_y1,ort_x2,ort_y2,ort_area,gold_x1,gold_y1,gold_x2,gold_y2,gold_area,object_score,memory_count,obj_ptr_count,total_ms
0,0.991520,0.00,146,52,371,480,57632.0,146,52,371,480,58301.0,23.8581,1,1,4299.4
1,0.990011,0.00,145,55,378,480,56849.0,145,55,378,480,57588.0,8.4377,1,1,6402.6
2,0.982358,1.58,144,55,389,480,57758.0,144,52,390,480,59778.0,9.9366,2,2,6498.9
3,0.987173,0.71,146,52,401,480,58780.0,145,51,401,480,59983.0,9.9662,3,3,6123.8
4,0.994126,0.50,147,50,413,480,59471.0,147,50,414,480,60319.0,9.6304,4,4,7415.5
5,0.991542,0.71,152,49,426,480,59856.0,151,48,426,480,62157.0,9.8895,5,5,7847.9
6,0.973335,4.53,157,48,440,480,60635.0,155,57,441,480,59841.0,9.7741,6,6,6914.0
7,0.966181,5.00,161,47,451,480,61527.0,160,57,452,480,60088.0,9.9247,7,7,7155.8
8,0.956130,9.51,166,47,460,480,61921.0,165,66,460,480,59669.0,9.7474,7,8,8174.7
9,0.990605,0.71,172,47,453,480,61206.0,170,46,456,480,62969.0,9.3996,7,9,7408.6
10,0.995122,9.50,175,101,427,480,56855.0,175,82,427,480,57220.0,10.2174,7,10,8048.9
11,0.931949,9.50,176,47,430,480,60610.0,175,66,431,480,56989.0,9.9159,7,11,8036.4
12,0.931580,18.01,175,46,440,480,62471.0,174,82,440,480,58240.0,9.7207,7,12,7753.2
13,0.994396,0.71,174,45,450,480,64398.0,173,44,450,480,66110.0,10.1755,7,13,7187.5
14,0.927465,19.00,173,44,460,480,65492.0,173,82,460,480,61071.0,10.5685,7,14,7815.1
15,0.968296,32.50,174,45,469,480,66308.0,174,110,469,480,61554.0,10.7121,7,15,7852.8
16,0.907267,14.50,177,44,474,480,68121.0,177,73,474,480,61218.0,10.4377,7,16,8062.1
17,0.994027,0.00,182,114,476,480,59556.0,181,114,477,480,59828.0,9.9694,7,16,9881.1
18,0.991327,0.00,190,115,477,480,58733.0,190,115,477,480,59088.0,9.9997,7,16,8663.7
19,0.989682,0.00,202,112,475,480,58159.0,201,112,476,480,58637.0,9.7183,7,16,6846.1
20,0.991527,0.50,195,110,477,480,59180.0,192,110,479,480,59602.0,10.2093,7,16,6511.9
21,0.995744,4.03,193,93,482,480,60691.0,193,101,483,480,60677.0,10.1375,7,16,6550.6
22,0.997464,0.50,210,91,486,480,62119.0,209,91,486,480,62290.0,9.6966,7,16,6724.8
23,0.992845,1.80,218,80,497,480,64977.0,217,77,500,480,65968.0,9.8753,7,16,6963.4
24,0.993960,0.50,211,72,494,480,68982.0,209,71,496,480,69825.0,10.1750,7,16,8123.4
25,0.990729,0.50,198,64,525,480,74594.0,196,63,527,480,75489.0,10.1427,7,16,7026.6
26,0.990990,0.50,183,58,560,480,78814.0,182,57,561,480,79946.0,10.4174,7,16,8651.2
27,0.990443,1.12,168,57,601,480,82301.0,167,56,604,480,83728.0,10.4697,7,16,7218.4
28,0.994417,0.00,154,58,611,480,84828.0,153,58,612,480,85160.0,10.4857,7,16,7229.6
29,0.994151,0.50,142,63,617,480,86141.0,142,62,617,480,86495.0,10.3679,7,16,7209.6
30,0.993482,0.71,132,67,620,480,86706.0,131,66,620,480,87103.0,10.4011,7,16,6892.1
31,0.994975,0.50,126,69,610,480,86128.0,125,69,610,480,86488.0,10.3926,7,16,6513.2
32,0.995065,0.71,125,71,582,480,84489.0,124,70,582,480,85023.0,10.5155,7,16,6841.9
33,0.994637,0.50,125,71,550,480,81766.0,124,71,550,480,82309.0,10.5444,7,16,9162.7
34,0.996279,0.00,126,78,508,480,77879.0,125,78,509,480,78321.0,10.6735,7,16,7026.3
35,0.993000,0.71,126,88,464,480,72625.0,126,87,465,480,73206.0,11.1679,7,16,7084.8
36,0.992569,0.50,125,94,440,480,69576.0,124,94,440,480,69787.0,10.8775,7,16,6875.6
37,0.993686,0.00,124,94,437,480,68258.0,124,94,437,480,68508.0,10.9987,7,16,6325.0
38,0.995721,0.50,114,95,436,480,68361.0,114,94,436,480,68722.0,10.6687,7,16,7822.4
39,0.993880,24.51,90,95,437,480,70002.0,89,46,437,480,71635.0,10.6320,7,16,7318.8
